2023-02-10 17:13:18,603 INFO    Thread-107 (_run_job):22564 [wandb_setup.py:_flush():68] Configure stats pid to 22564
2023-02-10 17:13:18,604 INFO    Thread-107 (_run_job):22564 [wandb_setup.py:_flush():68] Loading settings from C:\Users\GCM\.config\wandb\settings
2023-02-10 17:13:18,604 INFO    Thread-107 (_run_job):22564 [wandb_setup.py:_flush():68] Loading settings from E:\GIT_REPOS\LAB\Beetle_classifier\Train\wandb\settings
2023-02-10 17:13:18,604 INFO    Thread-107 (_run_job):22564 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True', 'project': 'MNIST', 'entity': 'christopher-marais', 'root_dir': 'E:\\GIT_REPOS\\LAB\\Beetle_classifier\\Train', 'run_id': 'yqrar4n2', 'sweep_param_path': 'E:\\GIT_REPOS\\LAB\\Beetle_classifier\\Train\\wandb\\sweep-s8giiztn\\config-yqrar4n2.yaml', 'sweep_id': 's8giiztn'}
2023-02-10 17:13:18,604 INFO    Thread-107 (_run_job):22564 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2023-02-10 17:13:18,604 INFO    Thread-107 (_run_job):22564 [wandb_init.py:_log_setup():492] Logging user logs to E:\GIT_REPOS\LAB\Beetle_classifier\Train\wandb\run-20230210_171318-yqrar4n2\logs\debug.log
2023-02-10 17:13:18,604 INFO    Thread-107 (_run_job):22564 [wandb_init.py:_log_setup():493] Logging internal logs to E:\GIT_REPOS\LAB\Beetle_classifier\Train\wandb\run-20230210_171318-yqrar4n2\logs\debug-internal.log
2023-02-10 17:13:18,605 INFO    Thread-107 (_run_job):22564 [wandb_init.py:_jupyter_setup():438] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x0000025AD90F2E90>
2023-02-10 17:13:18,605 INFO    Thread-107 (_run_job):22564 [wandb_init.py:init():532] calling init triggers
2023-02-10 17:13:18,605 INFO    Thread-107 (_run_job):22564 [wandb_init.py:init():538] wandb.init called with sweep_config: {'lr': 0.0010412711291576627, 'n_layer_1': 32, 'n_layer_2': 256}
config: {}
2023-02-10 17:13:18,605 INFO    Thread-107 (_run_job):22564 [wandb_init.py:init():588] starting backend
2023-02-10 17:13:18,605 INFO    Thread-107 (_run_job):22564 [wandb_init.py:init():592] setting up manager
2023-02-10 17:13:18,623 INFO    Thread-107 (_run_job):22564 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn, using: spawn
2023-02-10 17:13:18,630 INFO    Thread-107 (_run_job):22564 [wandb_init.py:init():599] backend started and connected
2023-02-10 17:13:18,650 INFO    Thread-107 (_run_job):22564 [wandb_run.py:_config_callback():1250] config_cb None None {'lr': 0.0010412711291576627, 'n_layer_1': 32, 'n_layer_2': 256}
2023-02-10 17:13:18,651 INFO    Thread-107 (_run_job):22564 [wandb_run.py:_label_probe_notebook():1203] probe notebook
2023-02-10 17:13:18,651 INFO    Thread-107 (_run_job):22564 [wandb_run.py:_label_probe_notebook():1213] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2023-02-10 17:13:18,651 INFO    Thread-107 (_run_job):22564 [wandb_init.py:init():687] updated telemetry
2023-02-10 17:13:18,695 INFO    Thread-107 (_run_job):22564 [wandb_init.py:init():727] communicating run to backend with 60.0 second timeout
2023-02-10 17:13:19,067 INFO    Thread-107 (_run_job):22564 [wandb_run.py:_on_init():2134] communicating current version
2023-02-10 17:13:19,321 INFO    Thread-107 (_run_job):22564 [wandb_run.py:_on_init():2143] got version response 
2023-02-10 17:13:19,321 INFO    Thread-107 (_run_job):22564 [wandb_init.py:init():775] starting run threads in backend
2023-02-10 17:13:19,517 INFO    Thread-107 (_run_job):22564 [wandb_run.py:_console_start():2114] atexit reg
2023-02-10 17:13:19,517 INFO    Thread-107 (_run_job):22564 [wandb_run.py:_redirect():1969] redirect: SettingsConsole.WRAP_RAW
2023-02-10 17:13:19,518 INFO    Thread-107 (_run_job):22564 [wandb_run.py:_redirect():2034] Wrapping output streams.
2023-02-10 17:13:19,518 INFO    Thread-107 (_run_job):22564 [wandb_run.py:_redirect():2059] Redirects installed.
2023-02-10 17:13:19,519 INFO    Thread-107 (_run_job):22564 [wandb_init.py:init():817] run started, returning control to user process
2023-02-10 17:13:19,656 INFO    Thread-107 (_run_job):22564 [wandb_run.py:_config_callback():1250] config_cb None None {'n_classes': 10, 'acc_task': 'multiclass'}
2023-02-10 17:13:49,720 INFO    Thread-107 (_run_job):22564 [wandb_run.py:_finish():1854] finishing run christopher-marais/MNIST/yqrar4n2
2023-02-10 17:13:49,720 INFO    Thread-107 (_run_job):22564 [jupyter.py:save_history():449] not saving jupyter history
2023-02-10 17:13:49,720 INFO    Thread-107 (_run_job):22564 [jupyter.py:save_ipynb():379] not saving jupyter notebook
2023-02-10 17:13:49,720 INFO    Thread-107 (_run_job):22564 [wandb_init.py:_jupyter_teardown():420] cleaning up jupyter logic
2023-02-10 17:13:49,720 INFO    Thread-107 (_run_job):22564 [wandb_run.py:_atexit_cleanup():2083] got exitcode: 0
2023-02-10 17:13:49,720 INFO    Thread-107 (_run_job):22564 [wandb_run.py:_restore():2066] restore
2023-02-10 17:13:49,721 INFO    Thread-107 (_run_job):22564 [wandb_run.py:_restore():2072] restore done
2023-02-10 17:13:53,054 INFO    Thread-107 (_run_job):22564 [wandb_run.py:_footer_history_summary_info():3442] rendering history
2023-02-10 17:13:53,055 INFO    Thread-107 (_run_job):22564 [wandb_run.py:_footer_history_summary_info():3474] rendering summary
2023-02-10 17:13:53,061 INFO    Thread-107 (_run_job):22564 [wandb_run.py:_footer_sync_info():3398] logging synced files
