species,vial,subset,original_image,croped_image_name,pixel_area
LAB,Beetle_classifier,Segmentation,IMG_0011.JPG,Beetle_classifier_Segmentation_0.jpg,79503
LAB,Beetle_classifier,Segmentation,IMG_0011.JPG,Beetle_classifier_Segmentation_1.jpg,87137
LAB,Beetle_classifier,Segmentation,IMG_0011.JPG,Beetle_classifier_Segmentation_2.jpg,77717
LAB,Beetle_classifier,Segmentation,IMG_0011.JPG,Beetle_classifier_Segmentation_3.jpg,83987
LAB,Beetle_classifier,Segmentation,IMG_0011.JPG,Beetle_classifier_Segmentation_4.jpg,89858
LAB,Beetle_classifier,Segmentation,IMG_0011.JPG,Beetle_classifier_Segmentation_5.jpg,43495
LAB,Beetle_classifier,Segmentation,IMG_0011.JPG,Beetle_classifier_Segmentation_6.jpg,50441
LAB,Beetle_classifier,Segmentation,IMG_0011.JPG,Beetle_classifier_Segmentation_7.jpg,80135
LAB,Beetle_classifier,Segmentation,IMG_0011.JPG,Beetle_classifier_Segmentation_8.jpg,78106
LAB,Beetle_classifier,Segmentation,IMG_0011.JPG,Beetle_classifier_Segmentation_9.jpg,80510
LAB,Beetle_classifier,Segmentation,IMG_0011.JPG,Beetle_classifier_Segmentation_10.jpg,71027
LAB,Beetle_classifier,Segmentation,IMG_0011.JPG,Beetle_classifier_Segmentation_11.jpg,91000
LAB,Beetle_classifier,Segmentation,IMG_0011.JPG,Beetle_classifier_Segmentation_12.jpg,83934
LAB,Beetle_classifier,Segmentation,IMG_0011.JPG,Beetle_classifier_Segmentation_13.jpg,78426
LAB,Beetle_classifier,Segmentation,IMG_0011.JPG,Beetle_classifier_Segmentation_14.jpg,81213
LAB,Beetle_classifier,Segmentation,IMG_0011.JPG,Beetle_classifier_Segmentation_15.jpg,83346
LAB,Beetle_classifier,Segmentation,IMG_0011.JPG,Beetle_classifier_Segmentation_16.jpg,74573
LAB,Beetle_classifier,Segmentation,IMG_0011.JPG,Beetle_classifier_Segmentation_17.jpg,88292
LAB,Beetle_classifier,Segmentation,IMG_0011.JPG,Beetle_classifier_Segmentation_18.jpg,81969
LAB,Beetle_classifier,Segmentation,IMG_0011.JPG,Beetle_classifier_Segmentation_19.jpg,71597
LAB,Beetle_classifier,Segmentation,IMG_0011.JPG,Beetle_classifier_Segmentation_20.jpg,74981
